,loss,binary_crossentropy,iou_score,precision,recall,f1-score,binary_focal_loss,dice_loss,val_loss,val_binary_crossentropy,val_iou_score,val_precision,val_recall,val_f1-score,val_binary_focal_loss,val_dice_loss
7,0.5503769516944885,0.1075809970498085,0.49334490299224854,0.5940443277359009,0.7448144555091858,0.660064160823822,0.031546927988529205,0.5188300013542175,0.7059942483901978,0.20361773669719696,0.5002651214599609,0.6852546334266663,0.648516058921814,0.6663103103637695,0.057371485978364944,0.6486228108406067
8,0.5057485103607178,0.0974816083908081,0.5017575621604919,0.6181666851043701,0.725395917892456,0.666711151599884,0.03074766881763935,0.47500088810920715,0.7204701900482178,0.2111976593732834,0.49309390783309937,0.6740399599075317,0.6475490927696228,0.6604835987091064,0.05814662575721741,0.6623235940933228
9,0.46631860733032227,0.09344007819890976,0.5108408331871033,0.6401733756065369,0.7205338478088379,0.6760825514793396,0.03206576034426689,0.43425285816192627,0.7017288208007812,0.16862480342388153,0.41966795921325684,0.6882282495498657,0.5173383355140686,0.5906695127487183,0.04112423211336136,0.6606045961380005
10,0.4516564607620239,0.09255567193031311,0.504529595375061,0.6334147453308105,0.7163240313529968,0.6699090003967285,0.033317387104034424,0.4183390438556671,0.5854272842407227,0.1282942146062851,0.5149061679840088,0.7542422413825989,0.618493378162384,0.6790487170219421,0.03236981853842735,0.5530574917793274
11,0.415643572807312,0.08474914729595184,0.5276389718055725,0.6582197546958923,0.7302915453910828,0.6903705596923828,0.03053492121398449,0.3851086497306824,0.5714635848999023,0.11919783800840378,0.471205472946167,0.7731407880783081,0.545495331287384,0.6395217180252075,0.02776484750211239,0.5436986684799194
12,0.39906424283981323,0.08406978100538254,0.5359156727790833,0.6754975914955139,0.7253167629241943,0.6972449421882629,0.030560677871108055,0.3685035705566406,0.5173466801643372,0.12175905704498291,0.5026397705078125,0.7142537832260132,0.6310467720031738,0.6686228513717651,0.040496814996004105,0.47684988379478455
13,0.37790289521217346,0.07905244827270508,0.5501754283905029,0.689491331577301,0.7308840155601501,0.7090582251548767,0.02870503067970276,0.3491978943347931,0.462382972240448,0.11201827973127365,0.5283496379852295,0.7230349779129028,0.6647560596466064,0.6907724142074585,0.04048896208405495,0.42189401388168335
14,0.3782844841480255,0.08495669066905975,0.5415129065513611,0.6843814253807068,0.7218349575996399,0.701921284198761,0.03214295208454132,0.3461415469646454,0.4369382858276367,0.10079088807106018,0.5335636138916016,0.7552892565727234,0.6494570970535278,0.6947534084320068,0.03293402120471001,0.4040042757987976
15,0.3655249774456024,0.08232724666595459,0.5518758296966553,0.6900339722633362,0.7365375757217407,0.7101422548294067,0.03137841075658798,0.3341465890407562,0.4597896337509155,0.10792869329452515,0.5018924474716187,0.7613067626953125,0.594975471496582,0.6656619310379028,0.03362748771905899,0.42616212368011475
16,0.3530614674091339,0.08020784705877304,0.5602195858955383,0.7133080959320068,0.7237560749053955,0.7175984978675842,0.02904464676976204,0.32401683926582336,0.3842431306838989,0.09206824004650116,0.5648075342178345,0.7654133439064026,0.6824252605438232,0.7207512855529785,0.030934849753975868,0.3533082604408264
17,0.3407667875289917,0.07946404814720154,0.5711533427238464,0.7161158919334412,0.7396877408027649,0.726062536239624,0.029601411893963814,0.31116530299186707,0.3773546814918518,0.09254519641399384,0.5541374087333679,0.7548613548278809,0.6761002540588379,0.7124115228652954,0.03274703025817871,0.3446076512336731
18,0.3376210331916809,0.0790635198354721,0.5712094902992249,0.7237491011619568,0.7316602468490601,0.726465106010437,0.029834026470780373,0.3077870309352875,0.36688828468322754,0.08904328942298889,0.5597711801528931,0.7201639413833618,0.7149701118469238,0.7173275947570801,0.03395282104611397,0.3329354524612427
19,0.33953917026519775,0.08126029372215271,0.5677481889724731,0.6930350065231323,0.7620710134506226,0.7239879965782166,0.03288530185818672,0.3066538870334625,0.40770918130874634,0.09631374478340149,0.5080498456954956,0.782837986946106,0.5929904580116272,0.6704756021499634,0.02871258184313774,0.3789966106414795
20,0.32949569821357727,0.07817088812589645,0.5748538970947266,0.7307558655738831,0.7314066290855408,0.729767382144928,0.02889951877295971,0.3005962073802948,0.3310961127281189,0.08176328986883163,0.5907607674598694,0.7235404253005981,0.7610384225845337,0.7417532205581665,0.0324685201048851,0.2986275851726532
21,0.3261082172393799,0.07763154059648514,0.5783332586288452,0.7225800156593323,0.7461166977882385,0.732185959815979,0.029676221311092377,0.2964319884777069,0.35793861746788025,0.09701527655124664,0.5549167394638062,0.7379528284072876,0.6908363699913025,0.7128195762634277,0.03651157021522522,0.32142704725265503
22,0.30994319915771484,0.07434537261724472,0.5949571132659912,0.7308670282363892,0.7632671594619751,0.7459920644760132,0.028495818376541138,0.2814473807811737,0.3352510929107666,0.08458225429058075,0.5750019550323486,0.7504033446311951,0.7109202146530151,0.7299758791923523,0.03052479401230812,0.3047263026237488
23,0.3142235577106476,0.07615647464990616,0.5885646343231201,0.732913613319397,0.7506416440010071,0.7407258749008179,0.028861669823527336,0.2853618860244751,0.32107028365135193,0.08276325464248657,0.5934908390045166,0.7439081072807312,0.7454608678817749,0.7442983388900757,0.03215346485376358,0.28891682624816895
24,0.2984273135662079,0.07311826199293137,0.6066045761108398,0.7465912103652954,0.7635279297828674,0.7546010613441467,0.02813352830708027,0.2702937722206116,0.31571370363235474,0.08349162340164185,0.5936504602432251,0.7595614194869995,0.7313371896743774,0.7447652816772461,0.03064737841486931,0.2850663363933563
25,0.29984956979751587,0.07316890358924866,0.6035886406898499,0.7387502789497375,0.7686528563499451,0.7526691555976868,0.02872825786471367,0.2711212933063507,0.3043503165245056,0.07683832943439484,0.6078348159790039,0.7408473491668701,0.7709616422653198,0.7555481791496277,0.030644701793789864,0.2737056016921997
26,0.2975600063800812,0.0731242224574089,0.6046424508094788,0.7503643035888672,0.7582441568374634,0.7532589435577393,0.027754612267017365,0.2698054015636444,0.301699161529541,0.07767732441425323,0.6077499389648438,0.751888632774353,0.7619067430496216,0.755563497543335,0.030873622745275497,0.2708255350589752
27,0.2897830903530121,0.07149824500083923,0.613052487373352,0.7499315142631531,0.7721071839332581,0.7596843242645264,0.02779458276927471,0.2619885206222534,0.292545884847641,0.07610386610031128,0.6203044652938843,0.7604219317436218,0.7703690528869629,0.7652852535247803,0.03025025688111782,0.2622956335544586
