,loss,binary_crossentropy,iou_score,precision,recall,f1-score,binary_focal_loss,dice_loss,val_loss,val_binary_crossentropy,val_iou_score,val_precision,val_recall,val_f1-score,val_binary_focal_loss,val_dice_loss
97,0.14017632603645325,0.03512655198574066,0.7914369702339172,0.8852233290672302,0.8824577927589417,0.8834686875343323,0.013134649023413658,0.12704166769981384,0.16841284930706024,0.05156930536031723,0.755398154258728,0.8758403062820435,0.8460474014282227,0.8606573343276978,0.019482500851154327,0.14893034100532532
98,0.14632736146450043,0.03732679784297943,0.7828565239906311,0.8812413811683655,0.8756557703018188,0.8780574798583984,0.014007392339408398,0.13231997191905975,0.162641704082489,0.0481201633810997,0.7652243375778198,0.8643338680267334,0.8696804046630859,0.8669804334640503,0.019849902018904686,0.14279180765151978
99,0.14803819358348846,0.038751062005758286,0.7793867588043213,0.8843191266059875,0.8682537078857422,0.8758307099342346,0.014253967441618443,0.1337842345237732,0.15794336795806885,0.045864421874284744,0.7723417282104492,0.8592119216918945,0.8842415809631348,0.8715426921844482,0.0201889518648386,0.1377544105052948
100,0.14361558854579926,0.037420421838760376,0.7870507836341858,0.8800413012504578,0.8818262219429016,0.8807405233383179,0.01437458023428917,0.1292410045862198,0.15899601578712463,0.046190544962882996,0.7689460515975952,0.8571223616600037,0.8819951415061951,0.8692995309829712,0.01967046409845352,0.1393255591392517
101,0.14875808358192444,0.03866421803832054,0.7795656323432922,0.8762827515602112,0.8762916922569275,0.8760297298431396,0.015087374486029148,0.13367071747779846,0.15614643692970276,0.045151278376579285,0.7714745402336121,0.8769330382347107,0.8648658990859985,0.8708575963973999,0.01743849366903305,0.1387079358100891
102,0.1517733484506607,0.04102518409490585,0.7756795287132263,0.8732110857963562,0.8744690418243408,0.8734914660453796,0.016019508242607117,0.1357538253068924,0.16267842054367065,0.048178281635046005,0.765544056892395,0.8610195517539978,0.8734258413314819,0.8671306371688843,0.01987316459417343,0.14280524849891663
103,0.1472267508506775,0.03829115256667137,0.7811866402626038,0.8818054795265198,0.8733437061309814,0.8770298361778259,0.01452347356826067,0.1327032595872879,0.15631812810897827,0.048288170248270035,0.7760890126228333,0.8566350936889648,0.8918323516845703,0.8738765120506287,0.021509578451514244,0.13480854034423828
104,0.14281629025936127,0.03714703023433685,0.7874069213867188,0.8864881992340088,0.876027524471283,0.880964457988739,0.014119931496679783,0.12869636714458466,0.1816646158695221,0.05872146040201187,0.7502710223197937,0.8131612539291382,0.9065502285957336,0.8572675585746765,0.030389046296477318,0.15127557516098022
105,0.14670810103416443,0.03940717875957489,0.7828643321990967,0.8829782605171204,0.87506502866745,0.8780984282493591,0.015164131298661232,0.13154397904872894,0.17386648058891296,0.055179182440042496,0.7566681504249573,0.8193047046661377,0.9081835150718689,0.8614140748977661,0.02798822708427906,0.14587825536727905
106,0.1480644792318344,0.03879642114043236,0.780321478843689,0.8744962811470032,0.8799959421157837,0.8764408230781555,0.01553339883685112,0.13253110647201538,0.17524206638336182,0.05370298773050308,0.7549587488174438,0.8260759115219116,0.8974419832229614,0.8602814078330994,0.0267958827316761,0.14844617247581482
