,loss,binary_crossentropy,iou_score,precision,recall,f1-score,binary_focal_loss,dice_loss,val_loss,val_binary_crossentropy,val_iou_score,val_precision,val_recall,val_f1-score,val_binary_focal_loss,val_dice_loss
129,0.15069372951984406,0.038935963064432144,0.7744448184967041,0.8717604279518127,0.8746239542961121,0.8726712465286255,0.015344236046075821,0.13534948229789734,0.19847197830677032,0.06086060032248497,0.7157692909240723,0.8256700038909912,0.8408622741699219,0.8331835269927979,0.02544463239610195,0.17302733659744263
130,0.15214459598064423,0.040597736835479736,0.7720256447792053,0.8715778589248657,0.8719123601913452,0.8711963891983032,0.015831254422664642,0.13631334900856018,0.20308326184749603,0.06193813681602478,0.7116593718528748,0.8067929744720459,0.855691134929657,0.8305211067199707,0.027808526530861855,0.17527472972869873
131,0.15330356359481812,0.040694527328014374,0.7701784372329712,0.8743085861206055,0.8660722374916077,0.8700317740440369,0.015607239678502083,0.13769632577896118,0.20753230154514313,0.06478789448738098,0.70768803358078,0.7993701100349426,0.8582859039306641,0.827693521976471,0.029788464307785034,0.1777438372373581
132,0.15274181962013245,0.03958529978990555,0.7720180749893188,0.865912675857544,0.8771206140518188,0.8711098432540894,0.01598699577152729,0.1367548108100891,0.20260393619537354,0.062402475625276566,0.7103495001792908,0.830033004283905,0.8287696838378906,0.8293332457542419,0.02511657029390335,0.17748737335205078
133,0.14896488189697266,0.038378000259399414,0.7770241498947144,0.8702943325042725,0.8792930841445923,0.8743399977684021,0.015202399343252182,0.13376249372959137,0.20630812644958496,0.06717058271169662,0.7019357681274414,0.8653990626335144,0.7863315939903259,0.8238760828971863,0.0230986550450325,0.18320947885513306
134,0.14949491620063782,0.03890157490968704,0.7752904891967773,0.8731572031974792,0.874349057674408,0.8732464909553528,0.015313499607145786,0.134181410074234,0.1981387734413147,0.06328878551721573,0.711556613445282,0.8605063557624817,0.8029210567474365,0.8305681347846985,0.022520653903484344,0.17561812698841095
135,0.15289975702762604,0.04104192927479744,0.771175742149353,0.8716415166854858,0.8704440593719482,0.8705767393112183,0.01617923192679882,0.13672050833702087,0.19625842571258545,0.06239598989486694,0.7155361175537109,0.8520131707191467,0.8154529929161072,0.8331586718559265,0.02322901040315628,0.17302942276000977
136,0.14664487540721893,0.03836391121149063,0.7792838215827942,0.8784967064857483,0.8744993209838867,0.8758577704429626,0.014814191497862339,0.13183069229125977,0.20192402601242065,0.06259012967348099,0.7089592814445496,0.8489704728126526,0.8089140057563782,0.8283653259277344,0.023722106590867043,0.17820191383361816
137,0.1528651863336563,0.039603136479854584,0.7718963027000427,0.8627053499221802,0.8806151747703552,0.8711496591567993,0.016329113394021988,0.13653606176376343,0.19497668743133545,0.0601840503513813,0.7182357907295227,0.8446301817893982,0.8254396915435791,0.8348984718322754,0.02332019992172718,0.17165648937225342
138,0.14704681932926178,0.03873914107680321,0.7790294885635376,0.8794567584991455,0.8731546998023987,0.8756991028785706,0.014921663329005241,0.1321251541376114,0.20560483634471893,0.06449825316667557,0.7096374034881592,0.810696542263031,0.8478956818580627,0.8287206292152405,0.0286476481705904,0.1769571751356125
139,0.1551702320575714,0.04109606891870499,0.7672942876815796,0.8683996200561523,0.8687001466751099,0.8681622743606567,0.016318729147315025,0.13885152339935303,0.2034471035003662,0.06299639493227005,0.7133018374443054,0.8101159930229187,0.853560745716095,0.8311924934387207,0.02815241552889347,0.1752946823835373
140,0.14724509418010712,0.03842458501458168,0.7787558436393738,0.8730185031890869,0.8786271810531616,0.8754956722259521,0.015300441533327103,0.13194464147090912,0.20029203593730927,0.06269942969083786,0.7139723300933838,0.8306534886360168,0.8330348134040833,0.8318107724189758,0.0256130900233984,0.17467893660068512
141,0.14045298099517822,0.03534293174743652,0.7888857126235962,0.8753513693809509,0.8888868093490601,0.8817974328994751,0.014293958432972431,0.12615901231765747,0.19962792098522186,0.06293850392103195,0.7130551338195801,0.8412933349609375,0.8217215538024902,0.8311308026313782,0.02475222386419773,0.17487569153308868
142,0.15067581832408905,0.041303299367427826,0.7745180130004883,0.8749688267707825,0.8709242343902588,0.8727447986602783,0.016014492139220238,0.13466133177280426,0.19532327353954315,0.06319714337587357,0.7206576466560364,0.8338307738304138,0.8392224311828613,0.8364225029945374,0.02577059529721737,0.16955266892910004
143,0.15124045312404633,0.0400865413248539,0.7731189131736755,0.8693714737892151,0.8756679892539978,0.871974527835846,0.01598851941525936,0.1352519392967224,0.20659445226192474,0.06466185301542282,0.7115413546562195,0.7946026921272278,0.8693073391914368,0.8300068974494934,0.03072327934205532,0.17587117850780487
144,0.15073031187057495,0.04053971543908119,0.7734275460243225,0.8784281611442566,0.8668032884597778,0.8720566630363464,0.015490845777094364,0.13523946702480316,0.19970984756946564,0.06291543692350388,0.715757429599762,0.8178998827934265,0.8493956923484802,0.8333003520965576,0.027340376749634743,0.17236946523189545
145,0.15336038172245026,0.04043860733509064,0.7707687616348267,0.8615533113479614,0.8800152540206909,0.870439887046814,0.016463659703731537,0.13689672946929932,0.20306916534900665,0.06452161073684692,0.7065108418464661,0.8555318713188171,0.7993828654289246,0.8264179229736328,0.023199385032057762,0.17986977100372314
146,0.14463402330875397,0.0374908410012722,0.7824717164039612,0.8756539821624756,0.8817112445831299,0.8778750896453857,0.014829243533313274,0.12980476021766663,0.1932431012392044,0.06082912161946297,0.7213718295097351,0.8367441296577454,0.8371708393096924,0.836945116519928,0.024379655718803406,0.1688634604215622
147,0.14199936389923096,0.03667581453919411,0.7856063842773438,0.8811598420143127,0.8790614008903503,0.8798592686653137,0.01435106061398983,0.12764829397201538,0.1931399554014206,0.0597512312233448,0.7234452366828918,0.8231975436210632,0.8536057472229004,0.8380915522575378,0.02562134526669979,0.16751861572265625
148,0.14979825913906097,0.03887119144201279,0.7749684453010559,0.8681261539459229,0.8791218400001526,0.8731647729873657,0.015858251601457596,0.13393999636173248,0.19989456236362457,0.062728650867939,0.7172730565071106,0.8134047985076904,0.855501115322113,0.8338246941566467,0.027525732293725014,0.1723688244819641
149,0.1482260525226593,0.038487669080495834,0.7771875858306885,0.8708691000938416,0.8799147009849548,0.87450110912323,0.015438160859048367,0.13278788328170776,0.20273280143737793,0.06485999375581741,0.7099770903587341,0.8395090699195862,0.8186593651771545,0.8289137482643127,0.02592582069337368,0.1768069863319397
